Job Number,Job Description,Apps Received,Female,Male,Unknown_Gender,Black,Hispanic,Asian,Caucasian,American Indian/ Alaskan Native,Filipino,UnknownEthnicity
9206 OP 2014/04/18,311 DIRECTOR 9206,54,20,31,3,25,18,1,6,0,0,4
1223 P 2013/08/09,ACCOUNTING CLERK 1223,648,488,152,8,151,204,123,62,3,79,26
7260 OP 2014/02/14,AIRPORT MANAGER 7260,51,13,37,1,8,12,9,20,0,0,2
3227 P 2013/11/15,AIRPORT POLICE LIEUTENANT 2013,48,9,38,1,21,14,3,7,0,1,2
2400 O 2014/05/02,AQUARIST 2400,40,15,24,1,3,7,7,19,1,1,2
1191,ARCHIVIST1191,161,89,66,6,12,36,20,73,0,6,14
2478 OP 2014/05/30,ART CENTER DIRECTOR 2478,102,53,48,1,22,18,14,37,2,4,5
2454 O 2014/04/11,ARTS ASSOCIATE 2454,702,430,240,32,96,173,84,211,5,40,93
3808 P 2014/05/30,ASSISTANT COMMUNICATIONS CABLE WORKER 3808,105,3,101,1,24,44,2,27,0,6,2
1860 O 2013/10/25,ASSISTANT UTILITY BUYER 1860,897,467,411,19,197,229,197,116,3,103,52
6147 O 2014/06/20,AUDIO VISUAL TECHNICIAN (6147),329,27,294,8,70,97,19,107,1,10,25
3595 P 2013/12/27,AUTOMOTIVE DISPATCHER 3595,104,27,75,2,41,43,5,6,1,2,6
3714 P 2013/07/12,AUTOMOTIVE SUPERVISOR 3714,124,2,120,2,7,53,10,46,1,2,5
4251 OP 2013/11/15,BUILDING MECHANICAL INSPECTOR 4251,199,7,191,1,24,57,3,101,1,4,9
3338 P 2014/06/20,BUILDING REPAIR SUPERVISOR 3338,79,0,78,1,8,21,1,33,1,9,6
3418 P 2014/06/20,CARPET LAYER 2014,9,1,8,0,6,3,0,0,0,0,0
1260 P 2013/09/20,CHIEF CLERK PERSONNEL 1260,39,35,4,0,16,12,2,4,0,3,2
9230 OP 2014/4/11,CHIEF FINANCIAL OFFICER 9230,57,22,34,1,10,7,11,21,0,4,4
9182 P 2014/06/20,CHIEF MANAGEMENT ANALYST 9182,143,78,54,11,19,32,15,42,0,15,20
7945 P 2013/12/20,CHIEF OF AIRPORT PLANNING 7945,5,3,2,0,0,3,0,2,0,0,0
7271 P 2013/11/08,CHIEF OF DRAFTING OPERATIONS 7271,13,2,11,0,1,7,2,1,0,1,1
1741 P 2013/10/25,CHIEF PERSONNEL ANALYST 1741,13,4,9,0,1,2,3,4,0,1,2
1211 P 2014/04/18,CHIEF TAX COMPLIANCE OFFICER 1211,14,1,13,0,1,0,7,3,1,2,0
3802 OP 2014/03/14,COMMUNICATIONS CABLE WORKER 3802,393,2,386,5,69,206,17,67,5,15,14
3689 P 2014/05/23,COMMUNICATIONS ELECTRICIAN SUPERVISOR 3689,72,2,70,0,13,16,11,27,0,4,1
7230 O 2014/02/14,CONTROL SYSTEMS ENGINEERING ASSOCIATE 7230,200,13,176,11,16,44,70,37,1,13,19
1230 O 2013/12/27,CUSTOMER SERVICE REPRESENTATIVE 1230,28230,19892,7968,370,12618,10214,1094,1958,131,740,1475
P 2014/06/06,CUSTOMER SERVICE SPECIALIST 1229 (Filing starts on June 17 at 8:00 am & closes June 19 at midnight),220,149,70,1,82,98,9,12,1,14,4
3211 O 2014/3/21,DETENTION OFFICER 3211,2297,819,1464,14,874,1076,70,173,10,41,53
4321 P 2014/04/18,DIRECTOR OF FIELD OPERATIONS 4321,14,5,9,0,2,3,0,9,0,0,0
7270 P 2013/08/30,DIRECTOR OF MAINTENANCE AIRPORTS 7270,28,2,26,0,3,10,1,11,1,0,2
3208OP051614,DIRECTOR OF SECURITY SERVICES 3208,40,8,32,0,14,12,0,14,0,0,0
3873 P 2013/08/23,ELECTRIC DISTRIBUTION MECHANIC SUPERVISOR 3873,149,0,147,2,4,50,5,73,3,4,10
3822 OP 2013/09/20,ELECTRIC METER SETTER 3822,1169,34,1135,0,200,563,57,271,8,41,29
7520 P 2014/01/31,ELECTRIC SERVICE REPRESENTATIVE 7520,160,5,152,3,21,68,8,50,0,2,11
7539 P 2013/07/26,ELECTRICAL ENGINEER 7539,196,26,160,10,19,40,54,44,0,11,28
