"fips.code","tract","parish","state","population.00","total.housing.units.00","occupied.housing.units.00","vacant.housing.units.00","population.10","total.housing.units.10","occupied.housing.units.10","vacant.housing.units.10"
22001960100,"Census Tract 9601","Acadia Parish","Louisiana",6188,2410,2236,174,6213,2574,2345,229
22001960200,"Census Tract 9602","Acadia Parish","Louisiana",5056,1909,1764,145,5988,2362,2144,218
22001960300,"Census Tract 9603","Acadia Parish","Louisiana",3149,1246,1145,101,3582,1427,1286,141
22001960400,"Census Tract 9604","Acadia Parish","Louisiana",5617,2176,1991,185,6584,2604,2362,242
22001960500,"Census Tract 9605","Acadia Parish","Louisiana",4927,1796,1692,104,6093,2349,2178,171
22001960600,"Census Tract 9606","Acadia Parish","Louisiana",5654,2292,2073,219,5972,2504,2306,198
22001960700,"Census Tract 9607","Acadia Parish","Louisiana",4614,1894,1723,171,4310,1922,1686,236
22001960800,"Census Tract 9608","Acadia Parish","Louisiana",5640,2254,2080,174,5389,2241,2019,222
22001960900,"Census Tract 9609","Acadia Parish","Louisiana",5059,1978,1782,196,5072,2077,1819,258
22001961000,"Census Tract 9610","Acadia Parish","Louisiana",5965,2526,2242,284,5324,2429,2113,316
22001961100,"Census Tract 9611","Acadia Parish","Louisiana",3497,1456,1266,190,3780,1559,1365,194
22001961200,"Census Tract 9612","Acadia Parish","Louisiana",3495,1272,1148,124,3466,1339,1218,121
22003950100,"Census Tract 9501","Allen Parish","Louisiana",4591,1912,1656,256,5115,2144,1886,258
22003950200,"Census Tract 9502","Allen Parish","Louisiana",5516,1294,1200,94,5326,1297,1168,129
22003950300,"Census Tract 9503","Allen Parish","Louisiana",3477,1551,1369,182,3146,1456,1280,176
22003950400,"Census Tract 9504","Allen Parish","Louisiana",4601,1925,1728,197,4368,1933,1706,227
22003950500,"Census Tract 9505","Allen Parish","Louisiana",7255,2475,2149,326,7809,2903,2476,427
22005030101,"Census Tract 301.01","Ascension Parish","Louisiana",4824,1857,1684,173,6541,2468,2316,152
22005030102,"Census Tract 301.02","Ascension Parish","Louisiana",4377,1625,1529,96,5073,1965,1861,104
22005030103,"Census Tract 301.03","Ascension Parish","Louisiana",4813,1827,1706,121,5644,2186,2063,123
22005030203,"Census Tract 302.03","Ascension Parish","Louisiana",6296,2397,2227,170,10551,3722,3523,199
22005030204,"Census Tract 302.04","Ascension Parish","Louisiana",6845,2555,2365,190,10530,3889,3659,230
22005030205,"Census Tract 302.05","Ascension Parish","Louisiana",5593,2054,1896,158,9734,3585,3324,261
22005030206,"Census Tract 302.06","Ascension Parish","Louisiana",6594,2390,2246,144,9290,3596,3347,249
22005030300,"Census Tract 303","Ascension Parish","Louisiana",5506,2050,1856,194,13728,4939,4612,327
22005030401,"Census Tract 304.01","Ascension Parish","Louisiana",4368,1840,1667,173,4421,1928,1761,167
22005030402,"Census Tract 304.02","Ascension Parish","Louisiana",5621,2080,1942,138,6812,2759,2489,270
22005030500,"Census Tract 305","Ascension Parish","Louisiana",7008,2712,2516,196,8843,3542,3241,301
22005030600,"Census Tract 306","Ascension Parish","Louisiana",3973,1647,1370,277,5123,1948,1816,132
22005030900,"Census Tract 309","Ascension Parish","Louisiana",4119,1637,1423,214,4165,1689,1474,215
