"fips.code","tract","parish","state","population.00","total.housing.units.00","occupied.housing.units.00","vacant.housing.units.00","population.10","total.housing.units.10","occupied.housing.units.10","vacant.housing.units.10"
22071000100,"Census Tract 1","Orleans Parish","Louisiana",2381,1408,1145,263,2455,1513,1229,284
22071000200,"Census Tract 2","Orleans Parish","Louisiana",1347,691,496,195,1197,738,496,242
22071000300,"Census Tract 3","Orleans Parish","Louisiana",1468,719,559,160,1231,641,467,174
22071000400,"Census Tract 4","Orleans Parish","Louisiana",2564,1034,873,161,2328,1137,911,226
22071000601,"Census Tract 6.01","Orleans Parish","Louisiana",2034,704,506,198,849,328,269,59
22071000602,"Census Tract 6.02","Orleans Parish","Louisiana",2957,1106,1011,95,2534,1108,923,185
22071000603,"Census Tract 6.03","Orleans Parish","Louisiana",2342,978,671,307,1605,922,498,424
22071000604,"Census Tract 6.04","Orleans Parish","Louisiana",5131,2100,1886,214,3925,1795,1456,339
22071000605,"Census Tract 6.05","Orleans Parish","Louisiana",2902,992,893,99,2205,994,804,190
22071000606,"Census Tract 6.06","Orleans Parish","Louisiana",4400,1641,1593,48,4346,1644,1544,100
22071000607,"Census Tract 6.07","Orleans Parish","Louisiana",3746,1452,1418,34,3709,1519,1425,94
22071000608,"Census Tract 6.08","Orleans Parish","Louisiana",7661,3316,2915,401,NA,NA,NA,NA
22071000611,"Census Tract 6.11","Orleans Parish","Louisiana",4525,1410,1337,73,4010,1584,1345,239
22071000612,"Census Tract 6.12","Orleans Parish","Louisiana",1147,418,375,43,1759,636,598,38
22071000613,"Census Tract 6.13","Orleans Parish","Louisiana",4630,2378,2083,295,3756,2256,1747,509
22071000614,"Census Tract 6.14","Orleans Parish","Louisiana",7547,3170,2924,246,NA,NA,NA,NA
22071000615,"Census Tract 6.15","Orleans Parish","Louisiana",NA,NA,NA,NA,4014,2300,1849,451
22071000616,"Census Tract 6.16","Orleans Parish","Louisiana",NA,NA,NA,NA,4712,1940,1647,293
22071000617,"Census Tract 6.17","Orleans Parish","Louisiana",NA,NA,NA,NA,4334,2515,2040,475
22071000618,"Census Tract 6.18","Orleans Parish","Louisiana",NA,NA,NA,NA,3816,1459,1349,110
22071000701,"Census Tract 7.01","Orleans Parish","Louisiana",3278,1270,1137,133,568,342,191,151
22071000702,"Census Tract 7.02","Orleans Parish","Louisiana",2976,1302,1100,202,1303,904,525,379
22071000800,"Census Tract 8","Orleans Parish","Louisiana",2531,1038,882,156,1411,863,515,348
22071000901,"Census Tract 9.01","Orleans Parish","Louisiana",2737,1122,970,152,616,459,240,219
22071000902,"Census Tract 9.02","Orleans Parish","Louisiana",2943,1144,985,159,320,191,116,75
22071000903,"Census Tract 9.03","Orleans Parish","Louisiana",2640,1089,932,157,508,360,193,167
22071000904,"Census Tract 9.04","Orleans Parish","Louisiana",2410,976,796,180,830,687,321,366
22071001100,"Census Tract 11","Orleans Parish","Louisiana",2892,1432,1194,238,1663,1272,857,415
22071001200,"Census Tract 12","Orleans Parish","Louisiana",2204,1293,1069,224,1674,1226,906,320
22071001301,"Census Tract 13.01","Orleans Parish","Louisiana",3022,1289,1065,224,2141,1287,842,445
22071001302,"Census Tract 13.02","Orleans Parish","Louisiana",1969,744,663,81,1113,699,402,297
22071001303,"Census Tract 13.03","Orleans Parish","Louisiana",781,328,263,65,NA,NA,NA,NA
22071001304,"Census Tract 13.04","Orleans Parish","Louisiana",721,347,292,55,NA,NA,NA,NA
22071001401,"Census Tract 14.01","Orleans Parish","Louisiana",3171,1442,1189,253,1302,821,507,314
22071001402,"Census Tract 14.02","Orleans Parish","Louisiana",3202,1323,1133,190,1704,1174,684,490
22071001500,"Census Tract 15","Orleans Parish","Louisiana",2026,863,698,165,929,656,368,288
22071001600,"Census Tract 16","Orleans Parish","Louisiana",1604,649,399,250,6,3,2,1
22071001701,"Census Tract 17.01","Orleans Parish","Louisiana",2630,1046,1009,37,1482,729,551,178
22071001702,"Census Tract 17.02","Orleans Parish","Louisiana",4387,1596,1480,116,2817,1252,999,253
22071001703,"Census Tract 17.03","Orleans Parish","Louisiana",3739,1567,1379,188,NA,NA,NA,NA
22071001706,"Census Tract 17.06","Orleans Parish","Louisiana",52,43,19,24,NA,NA,NA,NA
22071001714,"Census Tract 17.14","Orleans Parish","Louisiana",660,426,189,237,NA,NA,NA,NA
22071001720,"Census Tract 17.20","Orleans Parish","Louisiana",5092,1833,1699,134,3410,1572,1187,385
22071001722,"Census Tract 17.22","Orleans Parish","Louisiana",7005,2695,2453,242,3951,1906,1473,433
22071001723,"Census Tract 17.23","Orleans Parish","Louisiana",5564,2048,1963,85,4213,2007,1493,514
22071001724,"Census Tract 17.24","Orleans Parish","Louisiana",5642,2158,2059,99,4213,1905,1537,368
22071001725,"Census Tract 17.25","Orleans Parish","Louisiana",7773,2981,2897,84,5901,2780,2301,479
22071001726,"Census Tract 17.26","Orleans Parish","Louisiana",74,10,6,4,NA,NA,NA,NA
22071001728,"Census Tract 17.28","Orleans Parish","Louisiana",8269,3038,2934,104,NA,NA,NA,NA
22071001730,"Census Tract 17.30","Orleans Parish","Louisiana",2213,906,836,70,832,335,272,63
22071001732,"Census Tract 17.32","Orleans Parish","Louisiana",8240,2939,2841,98,NA,NA,NA,NA
22071001733,"Census Tract 17.33","Orleans Parish","Louisiana",1883,772,617,155,NA,NA,NA,NA
22071001734,"Census Tract 17.34","Orleans Parish","Louisiana",1760,1187,788,399,892,507,365,142
22071001735,"Census Tract 17.35","Orleans Parish","Louisiana",5338,2222,2054,168,2261,1104,816,288
22071001736,"Census Tract 17.36","Orleans Parish","Louisiana",4258,1764,1524,240,1754,906,652,254
22071001737,"Census Tract 17.37","Orleans Parish","Louisiana",4099,1636,1564,72,2463,1529,950,579
22071001738,"Census Tract 17.38","Orleans Parish","Louisiana",9931,3114,2958,156,NA,NA,NA,NA
22071001739,"Census Tract 17.39","Orleans Parish","Louisiana",3232,1350,1308,42,1439,660,514,146
22071001740,"Census Tract 17.40","Orleans Parish","Louisiana",5291,2115,2035,80,4130,2173,1608,565
22071001741,"Census Tract 17.41","Orleans Parish","Louisiana",1711,470,460,10,1376,484,416,68
22071001742,"Census Tract 17.42","Orleans Parish","Louisiana",8988,2623,2521,102,NA,NA,NA,NA
22071001743,"Census Tract 17.43","Orleans Parish","Louisiana",NA,NA,NA,NA,2006,1230,790,440
22071001744,"Census Tract 17.44","Orleans Parish","Louisiana",NA,NA,NA,NA,3966,1763,1397,366
22071001745,"Census Tract 17.45","Orleans Parish","Louisiana",NA,NA,NA,NA,3284,1417,1136,281
22071001746,"Census Tract 17.46","Orleans Parish","Louisiana",NA,NA,NA,NA,4296,1717,1358,359
22071001747,"Census Tract 17.47","Orleans Parish","Louisiana",NA,NA,NA,NA,3510,1378,1150,228
22071001748,"Census Tract 17.48","Orleans Parish","Louisiana",NA,NA,NA,NA,3773,1657,1323,334
22071001749,"Census Tract 17.49","Orleans Parish","Louisiana",NA,NA,NA,NA,2511,830,721,109
22071001750,"Census Tract 17.50","Orleans Parish","Louisiana",NA,NA,NA,NA,3289,1187,1005,182
22071001751,"Census Tract 17.51","Orleans Parish","Louisiana",NA,NA,NA,NA,836,463,341,122
22071001800,"Census Tract 18","Orleans Parish","Louisiana",1519,1046,912,134,1381,996,808,188
22071001900,"Census Tract 19","Orleans Parish","Louisiana",2524,1126,939,187,1586,1041,682,359
22071002000,"Census Tract 20","Orleans Parish","Louisiana",2155,938,755,183,1317,814,499,315
22071002100,"Census Tract 21","Orleans Parish","Louisiana",1522,695,584,111,856,541,348,193
22071002200,"Census Tract 22","Orleans Parish","Louisiana",2049,862,711,151,1058,689,385,304
22071002300,"Census Tract 23","Orleans Parish","Louisiana",3725,1579,1347,232,1815,1093,690,403
22071002401,"Census Tract 24.01","Orleans Parish","Louisiana",2175,890,847,43,1615,835,661,174
22071002402,"Census Tract 24.02","Orleans Parish","Louisiana",3707,1609,1483,126,2849,1462,1121,341
22071002501,"Census Tract 25.01","Orleans Parish","Louisiana",2541,1111,1039,72,1573,836,633,203
22071002502,"Census Tract 25.02","Orleans Parish","Louisiana",3099,1251,1155,96,1832,971,704,267
22071002503,"Census Tract 25.03","Orleans Parish","Louisiana",2035,896,853,43,1584,876,667,209
22071002504,"Census Tract 25.04","Orleans Parish","Louisiana",2625,1169,1075,94,2162,1104,902,202
22071002600,"Census Tract 26","Orleans Parish","Louisiana",1626,1303,1048,255,1592,1363,1073,290
22071002700,"Census Tract 27","Orleans Parish","Louisiana",2510,1031,851,180,1475,908,579,329
22071002800,"Census Tract 28","Orleans Parish","Louisiana",2085,1024,866,158,1426,917,585,332
22071002900,"Census Tract 29","Orleans Parish","Louisiana",2309,935,770,165,1156,777,448,329
22071003000,"Census Tract 30","Orleans Parish","Louisiana",1972,912,774,138,1100,764,420,344
22071003100,"Census Tract 31","Orleans Parish","Louisiana",1936,857,764,93,1084,735,458,277
22071003301,"Census Tract 33.01","Orleans Parish","Louisiana",2818,1306,1259,47,1580,963,645,318
22071003302,"Census Tract 33.02","Orleans Parish","Louisiana",4165,1580,1498,82,2647,1389,1009,380
22071003303,"Census Tract 33.03","Orleans Parish","Louisiana",2514,1203,1089,114,1765,1031,725,306
22071003304,"Census Tract 33.04","Orleans Parish","Louisiana",2804,1371,1144,227,1745,1005,705,300
22071003305,"Census Tract 33.05","Orleans Parish","Louisiana",1173,498,419,79,NA,NA,NA,NA
22071003306,"Census Tract 33.06","Orleans Parish","Louisiana",5254,1751,1601,150,NA,NA,NA,NA
22071003307,"Census Tract 33.07","Orleans Parish","Louisiana",1689,702,667,35,1187,689,514,175
22071003308,"Census Tract 33.08","Orleans Parish","Louisiana",4782,2048,1942,106,3186,1814,1387,427
22071003400,"Census Tract 34","Orleans Parish","Louisiana",2008,1067,853,214,1222,949,575,374
