"parish","population.00","total.housing.units.00","occupied.housing.units.00","vacant.housing.units.00","population.10","total.housing.units.10","occupied.housing.units.10","vacant.housing.units.10"
"Acadia Parish",58861,23209,21142,2067,61773,25387,22841,2546
"Allen Parish",25440,9157,8102,1055,25764,9733,8516,1217
"Ascension Parish",76627,29172,26691,2481,107215,40784,37790,2994
"Assumption Parish",23388,9635,8239,1396,23421,10351,8736,1615
"Avoyelles Parish",41481,16576,14736,1840,42073,18042,15432,2610
"Beauregard Parish",32986,14501,12104,2397,35654,15040,13159,1881
"Bienville Parish",15752,7830,6108,1722,14353,7718,5838,1880
"Bossier Parish",98310,40286,36628,3658,116979,49351,45215,4136
"Caddo Parish",252161,108296,97974,10322,254969,112028,102139,9889
"Calcasieu Parish",183577,75995,68613,7382,192768,82058,73996,8062
"Caldwell Parish",10560,5035,3941,1094,10132,4994,3905,1089
"Cameron Parish",9991,5336,3592,1744,6839,3593,2575,1018
"Catahoula Parish",10920,5351,4082,1269,10407,4877,3834,1043
"Claiborne Parish",16851,7815,6270,1545,17195,7761,6017,1744
"Concordia Parish",20247,9148,7521,1627,20822,9383,7613,1770
"De Soto Parish",25494,11204,9691,1513,26656,12290,10562,1728
"East Baton Rouge Parish",412852,169073,156365,12708,440171,187353,172057,15296
"East Carroll Parish",9421,3303,2969,334,7759,2904,2552,352
"East Feliciana Parish",21360,7915,6699,1216,20267,8014,7022,992
"Evangeline Parish",35434,14258,12736,1522,33984,14662,12829,1833
"Franklin Parish",21263,8623,7754,869,20767,9034,7904,1130
"Grant Parish",18698,8531,7073,1458,22309,8886,7496,1390
"Iberia Parish",73266,27844,25381,2463,73240,29698,26778,2920
"Iberville Parish",33320,11953,10674,1279,33387,12707,11072,1635
"Jackson Parish",15397,7338,6086,1252,16274,7680,6261,1419
"Jefferson Davis Parish",31435,12824,11480,1344,31594,13306,11771,1535
"Jefferson Parish",455466,187907,176234,11673,432552,189135,169647,19488
"La Salle Parish",14282,6273,5291,982,14890,6560,5468,1092
"Lafayette Parish",190503,78122,72372,5750,221578,93656,87027,6629
"Lafourche Parish",89974,35045,32057,2988,96318,38582,35486,3096
"Lincoln Parish",42509,17000,15235,1765,46735,19479,17599,1880
"Livingston Parish",91814,36212,32630,3582,128026,50170,46007,4163
"Madison Parish",13728,4979,4469,510,12093,4804,4025,779
"Morehouse Parish",31021,12711,11382,1329,27979,12423,10853,1570
"Natchitoches Parish",39080,16890,14263,2627,39566,18587,15614,2973
"Orleans Parish",484674,215091,188251,26840,343829,189896,142158,47738
"Ouachita Parish",147250,60154,55216,4938,153720,64481,58691,5790
"Plaquemines Parish",26757,10481,9021,1460,23042,9596,8077,1519
"Pointe Coupee Parish",22763,10297,8397,1900,22802,11130,9082,2048
"Rapides Parish",126337,52038,47120,4918,131613,55684,50401,5283
"Red River Parish",9622,3988,3414,574,9091,4128,3472,656
"Richland Parish",20981,8335,7490,845,20725,8621,7551,1070
"Sabine Parish",23459,13671,9221,4450,24233,14130,9622,4508
"St. Bernard Parish",67229,26790,25123,1667,35897,16794,13221,3573
"St. Charles Parish",48072,17430,16422,1008,52780,19896,18557,1339
"St. Helena Parish",10525,5034,3873,1161,11203,5150,4333,817
"St. James Parish",21216,7605,6992,613,22102,8455,7717,738
"St. John the Baptist Parish",43044,15532,14283,1249,45924,17510,15965,1545
"St. Landry Parish",87700,36216,32328,3888,83384,35692,31857,3835
"St. Martin Parish",48583,20245,17164,3081,52160,21941,19216,2725
"St. Mary Parish",53500,21650,19317,2333,54650,23028,20457,2571
"St. Tammany Parish",191268,75398,69253,6145,233740,95412,87521,7891
"Tangipahoa Parish",100588,40794,36558,4236,121097,50073,45135,4938
"Tensas Parish",6618,3359,2416,943,5252,3357,2172,1185
"Terrebonne Parish",104503,39928,35997,3931,111860,43887,40091,3796
"Union Parish",22803,10873,8857,2016,22721,11346,9144,2202
"Vermilion Parish",53807,22461,19832,2629,57999,25235,21889,3346
"Vernon Parish",52531,21030,18260,2770,52334,21433,19165,2268
"Washington Parish",43926,19106,16467,2639,47168,21039,18113,2926
"Webster Parish",41831,18991,16501,2490,41207,19336,16537,2799
"West Baton Rouge Parish",21601,8370,7663,707,23788,9324,8688,636
"West Carroll Parish",12314,4980,4458,522,11604,5046,4452,594
"West Feliciana Parish",15111,4485,3645,840,15625,5097,3971,1126
"Winn Parish",16894,7502,5930,1572,15313,7234,5469,1765
